管材,产品规格,水力内径 (m),设计流量 (m³/s),流量口径,本次流量 (m³/s),底坡分母,无压糙率,输水能力判断,水深 (m),充满度,无压流速 (m/s),模型最大无压流量 (m³/s),满管参照流量 (m³/s),同流量有压流速 (m/s),同流量有压总水损 (m/km),同流量有压总水损下限 (m/km),净空高度 (m),净空面积 (%),项目净空高度下限 (m),项目净空面积下限 (%),项目净空判定,计算说明,模型条件,有压候选类别
聚乙烯（PE）管,PE100 DN32×2.3 mm，SDR17，PN1 MPa，名义计算内径 di=27.4 mm,0.027399999999999997,0.1,设计流量,0.1,500,0.014,能力不足,,,,7.308002042746817e-05,6.79367890821619e-05,169.59341796781436,505931.1497772603,,,,,,无法判定净空,超过圆管模型最大无压流量,圆管无压均匀流；多解区采用较浅水深支，不包含下游顶托影响。,兜底
聚乙烯（PE）管,PE100 DN32×2.3 mm，SDR17，PN1 MPa，名义计算内径 di=27.4 mm,0.027399999999999997,0.1,加大流量,0.13,500,0.014,能力不足,,,,7.308002042746817e-05,6.79367890821619e-05,220.47144335815867,804954.1670877853,,,,,,无法判定净空,超过圆管模型最大无压流量,圆管无压均匀流；多解区采用较浅水深支，不包含下游顶托影响。,兜底
聚乙烯（PE）管,PE100 DN40×2.4 mm，SDR17，PN1 MPa，名义计算内径 di=35.2 mm,0.0352,0.1,设计流量,0.1,500,0.014,能力不足,,,,0.0001425315238996972,0.00013250042925676725,102.7601647029283,153162.73020159686,,,,,,无法判定净空,超过圆管模型最大无压流量,圆管无压均匀流；多解区采用较浅水深支，不包含下游顶托影响。,兜底
聚乙烯（PE）管,PE100 DN40×2.4 mm，SDR17，PN1 MPa，名义计算内径 di=35.2 mm,0.0352,0.1,加大流量,0.13,500,0.014,能力不足,,,,0.0001425315238996972,0.00013250042925676725,133.5882141138068,243687.26450742636,,,,,,无法判定净空,超过圆管模型最大无压流量,圆管无压均匀流；多解区采用较浅水深支，不包含下游顶托影响。,兜底
聚乙烯（PE）管,PE100 DN50×3 mm，SDR17，PN1 MPa，名义计算内径 di=44 mm,0.044,0.1,设计流量,0.1,500,0.014,能力不足,,,,0.0002584268475666591,0.00024023926284652764,65.76650540987411,52831.42649892653,,,,,,无法判定净空,超过圆管模型最大无压流量,圆管无压均匀流；多解区采用较浅水深支，不包含下游顶托影响。,兜底
聚乙烯（PE）管,PE100 DN50×3 mm，SDR17，PN1 MPa，名义计算内径 di=44 mm,0.044,0.1,加大流量,0.13,500,0.014,能力不足,,,,0.0002584268475666591,0.00024023926284652764,85.49645703283635,84056.6486808051,,,,,,无法判定净空,超过圆管模型最大无压流量,圆管无压均匀流；多解区采用较浅水深支，不包含下游顶托影响。,兜底
聚乙烯（PE）管,PE100 DN63×3.8 mm，SDR17，PN1 MPa，名义计算内径 di=55.4 mm,0.0554,0.1,设计流量,0.1,500,0.014,能力不足,,,,0.0004777014195324478,0.00044408171198084606,41.48495173712556,17604.35129367093,,,,,,无法判定净空,超过圆管模型最大无压流量,圆管无压均匀流；多解区采用较浅水深支，不包含下游顶托影响。,兜底
聚乙烯（PE）管,PE100 DN63×3.8 mm，SDR17，PN1 MPa，名义计算内径 di=55.4 mm,0.0554,0.1,加大流量,0.13,500,0.014,能力不足,,,,0.0004777014195324478,0.00044408171198084606,53.93043725826323,28009.139067551794,,,,,,无法判定净空,超过圆管模型最大无压流量,圆管无压均匀流；多解区采用较浅水深支，不包含下游顶托影响。,兜底
聚乙烯（PE）管,PE100 DN75×4.5 mm，SDR17，PN1 MPa，名义计算内径 di=66 mm,0.066,0.1,设计流量,0.1,500,0.014,能力不足,,,,0.0007619286788919635,0.0007083056032381423,29.22955795994405,7637.2504283065555,,,,,,无法判定净空,超过圆管模型最大无压流量,圆管无压均匀流；多解区采用较浅水深支，不包含下游顶托影响。,兜底
聚乙烯（PE）管,PE100 DN75×4.5 mm，SDR17，PN1 MPa，名义计算内径 di=66 mm,0.066,0.1,加大流量,0.13,500,0.014,能力不足,,,,0.0007619286788919635,0.0007083056032381423,37.99842534792726,12151.13273824882,,,,,,无法判定净空,超过圆管模型最大无压流量,圆管无压均匀流；多解区采用较浅水深支，不包含下游顶托影响。,兜底
