管材类型,f采用值（上限）,f下限,Q_target (m³/s),n_unpr,i_unpr_str,i_unpr_val,D (m),水力计算内径 di (mm),公称外径 DN (mm),公称壁厚 en (mm),PE材料等级,PE公称压力 PN (MPa),PE标准尺寸比 SDR,产品标准,y_unpr (m),v_unpr (m/s),y/D_unpr,V_press (m/s),hf_press (m/km),hf_local_press (m/km),hf_total_press (m/km),h_loss_total (m),hf_press_f下限 (m/km),hf_local_press_f下限 (m/km),hf_total_press_f下限 (m/km),h_loss_total_f下限 (m),净空高度 (m),净空面积 (%),净空高<0.4m,净空面积(%)<15,Q_full_unpr (m³/s),Q_max_unpr (m³/s),加大比例 (%),分类,备注,产品族,产品型式,产品规格ID,公称口径代号,公称口径 (mm),口径基准,产品外径 (mm),产品公称壁厚 (mm),水力内径取值依据,等级体系,等级代码,内衬代号,内衬厚度 (mm),两端最小内径 (mm),两端最大内径 (mm),设计内径允许偏差 (mm),产品规格依据,规格表定位,钢管壁厚选取,钢管尺寸计算过程,钢管所需最小水力内径 (mm),钢管上取公称外径 DN (mm),钢管最小推荐档
HDPE管,94800.0,,0.1,0.014,1/500,0.002,0.027399999999999997,27.4,32,2.3,PE100,1.0,17.0,GB/T 13663.2—2018,,,,169.59341796781436,699960.1452937264,104994.02179405895,804954.1670877853,804954.1670877853,,,,,,,False,False,6.79367890821619e-05,7.308002042746817e-05,30.0,兜底,Q>0.0001(Q_max_unpr),PE,,PE|PE100|PN1|dn32,DN,32.0,公称外径,32.0,2.3,DN-2en 名义换算,SDR,SDR17,,,,,,GB/T 13663.2—2018,,,,,,False
HDPE管,94800.0,,0.1,0.014,1/500,0.002,0.0352,35.2,40,2.4,PE100,1.0,17.0,GB/T 13663.2—2018,,,,102.7601647029283,211901.9691368925,31785.295370533873,243687.26450742636,243687.26450742636,,,,,,,False,False,0.00013250042925676725,0.0001425315238996972,30.0,兜底,Q>0.0001(Q_max_unpr),PE,,PE|PE100|PN1|dn40,DN,40.0,公称外径,40.0,2.4,DN-2en 名义换算,SDR,SDR17,,,,,,GB/T 13663.2—2018,,,,,,False
HDPE管,94800.0,,0.1,0.014,1/500,0.002,0.044,44.0,50,3.0,PE100,1.0,17.0,GB/T 13663.2—2018,,,,65.76650540987411,73092.73798330878,10963.910697496316,84056.6486808051,84056.6486808051,,,,,,,False,False,0.00024023926284652764,0.0002584268475666591,30.0,兜底,Q>0.0003(Q_max_unpr),PE,,PE|PE100|PN1|dn50,DN,50.0,公称外径,50.0,3.0,DN-2en 名义换算,SDR,SDR17,,,,,,GB/T 13663.2—2018,,,,,,False
HDPE管,94800.0,,0.1,0.014,1/500,0.002,0.0554,55.4,63,3.8,PE100,1.0,17.0,GB/T 13663.2—2018,,,,41.48495173712556,24355.77310221895,3653.3659653328427,28009.139067551794,28009.139067551794,,,,,,,False,False,0.00044408171198084606,0.0004777014195324478,30.0,兜底,Q>0.0005(Q_max_unpr),PE,,PE|PE100|PN1|dn63,DN,63.0,公称外径,63.0,3.8,DN-2en 名义换算,SDR,SDR17,,,,,,GB/T 13663.2—2018,,,,,,False
HDPE管,94800.0,,0.1,0.014,1/500,0.002,0.066,66.0,75,4.5,PE100,1.0,17.0,GB/T 13663.2—2018,,,,29.22955795994405,10566.20238108593,1584.9303571628895,12151.13273824882,12151.13273824882,,,,,,,False,False,0.0007083056032381423,0.0007619286788919635,30.0,兜底,Q>0.0008(Q_max_unpr),PE,,PE|PE100|PN1|dn75,DN,75.0,公称外径,75.0,4.5,DN-2en 名义换算,SDR,SDR17,,,,,,GB/T 13663.2—2018,,,,,,False
HDPE管,94800.0,,0.1,0.014,1/500,0.002,0.0792,79.2,90,5.4,PE100,1.0,17.0,GB/T 13663.2—2018,,,,20.298304138850032,4428.17097634125,664.2256464511875,5092.3966227924375,5092.3966227924375,,,,,,,False,False,0.001151783007158136,0.0012389800405393067,30.0,兜底,Q>0.0012(Q_max_unpr),PE,,PE|PE100|PN1|dn90,DN,90.0,公称外径,90.0,5.4,DN-2en 名义换算,SDR,SDR17,,,,,,GB/T 13663.2—2018,,,,,,False
HDPE管,94800.0,,0.1,0.014,1/500,0.002,0.0968,96.8,110,6.6,PE100,1.0,17.0,GB/T 13663.2—2018,,,,13.588120952453329,1700.2705905195417,255.04058857793123,1955.3111790974729,1955.3111790974729,,,,,,,False,False,0.001966849526023467,0.002115752090751843,30.0,兜底,Q>0.0021(Q_max_unpr),PE,,PE|PE100|PN1|dn110,DN,110.0,公称外径,110.0,6.6,DN-2en 名义换算,SDR,SDR17,,,,,,GB/T 13663.2—2018,,,,,,False
HDPE管,94800.0,,0.1,0.014,1/500,0.002,0.1102,110.2,125,7.4,PE100,1.0,17.0,GB/T 13663.2—2018,,,,10.484480821334273,916.0882049490918,137.41323074236377,1053.5014356914555,1053.5014356914555,,,,,,,False,False,0.0027792083206980714,0.0029896114254556886,30.0,兜底,Q>0.0030(Q_max_unpr),PE,,PE|PE100|PN1|dn125,DN,125.0,公称外径,125.0,7.4,DN-2en 名义换算,SDR,SDR17,,,,,,GB/T 13663.2—2018,,,,,,False
HDPE管,94800.0,,0.1,0.014,1/500,0.002,0.12340000000000001,123.4,140,8.3,PE100,1.0,17.0,GB/T 13663.2—2018,,,,8.361415385886922,534.0355710962359,80.10533566443539,614.1409067606713,614.1409067606713,,,,,,,False,False,0.003757888948108369,0.004042384175086438,30.0,兜底,Q>0.0040(Q_max_unpr),PE,,PE|PE100|PN1|dn140,DN,140.0,公称外径,140.0,8.3,DN-2en 名义换算,SDR,SDR17,,,,,,GB/T 13663.2—2018,,,,,,False
HDPE管,94800.0,,0.1,0.014,1/500,0.002,0.141,141.0,160,9.5,PE100,1.0,17.0,GB/T 13663.2—2018,,,,6.404303328480273,282.72768028478686,42.40915204271803,325.13683232750486,325.13683232750486,,,,,,,False,False,0.00536234167947307,0.005768303812548764,30.0,兜底,Q>0.0058(Q_max_unpr),PE,,PE|PE100|PN1|dn160,DN,160.0,公称外径,160.0,9.5,DN-2en 名义换算,SDR,SDR17,,,,,,GB/T 13663.2—2018,,,,,,False
HDPE管,94800.0,,0.1,0.014,1/500,0.002,0.1586,158.6,180,10.7,PE100,1.0,17.0,GB/T 13663.2—2018,,,,5.061785678021127,161.3233806745643,24.198507101184646,185.52188777574895,185.52188777574895,,,,,,,False,False,0.00733801627401949,0.007893549083603124,30.0,兜底,Q>0.0079(Q_max_unpr),PE,,PE|PE100|PN1|dn180,DN,180.0,公称外径,180.0,10.7,DN-2en 名义换算,SDR,SDR17,,,,,,GB/T 13663.2—2018,,,,,,False
